"","X","LAD17CD","CTRY11NM","areaName","RGN11NM","Geography","area","pop","density","Name","All.ages","Under18","y18to24","y25to34","y35to44","y45to54","y55to64","y65to74","y75","gdphead2019","geography","white","asian","black"
"53",53,"E07000011","England","Huntingdonshire","East of England","Non-metropolitan District",906,178985,198,"Huntingdonshire",178985,0.206363661759365,0.0639997765175853,0.120322932089281,0.127239712825097,0.144526077604269,0.133754225214403,0.111333351956868,0.0924602620331313,30649,"Huntingdonshire",0.946757675153975,0.0247185973523374,0.00968685843735989
"54",54,"E07000012","England","South Cambridgeshire","East of England","Non-metropolitan District",902,160904,178,"South Cambridgeshire",160904,0.224562472033013,0.0586623079600259,0.102937155073833,0.138809476458012,0.150313230249093,0.127175210063143,0.103968826132352,0.0935713220305275,37079,"South Cambridgeshire",0.929730093106114,0.0372424456320796,0.00852408322409331
"55",55,"E07000028","England","Carlisle","North West","Non-metropolitan District",1038,108524,105,"Carlisle",108524,0.198684162028676,0.069145995355866,0.113615421473591,0.114988389664959,0.137628542995098,0.144299878367919,0.119577236371678,0.102060373742214,30305,"Carlisle",0.979167441687437,0.0116067110598564,0.00136713663926193
"56",56,"E07000031","England","South Lakeland","North West","Non-metropolitan District",1535,104905,68,"South Lakeland",104905,0.168743148562986,0.0613984080835041,0.0844764310566703,0.0989085362947429,0.139392783947381,0.160202087603069,0.1505076021162,0.136371002335446,29032,"South Lakeland",0.983291207625075,0.00759227459530379,0.00176542090335526
"57",57,"E07000032","England","Amber Valley","East Midlands","Non-metropolitan District",265,128829,485,"Amber Valley",128829,0.187752757531301,0.0658935488127673,0.116790474194475,0.114593763826468,0.148087775267991,0.14296470515179,0.123993821266951,0.099923153948257,24865,"Amber Valley",0.980949889215021,0.0075955162743543,0.00206853134274665
"58",58,"E07000034","England","Chesterfield","East Midlands","Non-metropolitan District",66,104930,1589,"Chesterfield",104930,0.189402458782045,0.0707519298580006,0.126026875059564,0.1169636900791,0.14379109882779,0.138530448870676,0.11599161345659,0.0985418850662346,26609,"Chesterfield",0.965111573592323,0.0153389601880757,0.00753458974062512
"59",59,"E07000036","England","Erewash","East Midlands","Non-metropolitan District",110,115332,1052,"Erewash",115332,0.198990739777338,0.0681077237887143,0.128507265979954,0.116524468490965,0.146706898345646,0.134724100856657,0.108252696562966,0.0981861061977595,18653,"Erewash",0.970155512531116,0.0123392903346687,0.00478225569008128
"60",60,"E07000038","England","North East Derbyshire","East Midlands","Non-metropolitan District",276,102216,371,"North East Derbyshire",102216,0.183200281756281,0.0636201768803318,0.111499178210848,0.107067386710495,0.140985755654692,0.145153400641778,0.132865696172811,0.115608123972764,17940,"North East Derbyshire",0.979711784130959,0.00802843783767408,0.00238328469143532
"61",61,"E07000039","England","South Derbyshire","East Midlands","Non-metropolitan District",338,109516,324,"South Derbyshire",109516,0.211065049855729,0.0684648818437489,0.128629606632821,0.128520033602396,0.15008765842434,0.129807516709887,0.104459622338288,0.0789656305927901,30355,"South Derbyshire",0.956072761095433,0.0251027893162529,0.00449207808817157
"62",62,"E07000040","England","East Devon","South West","Non-metropolitan District",814,148080,182,"East Devon",148080,0.17895056726094,0.0544502971366829,0.091923284710967,0.0980010804970286,0.128876283090222,0.143206374932469,0.15284981091302,0.151742301458671,22480,"East Devon",0.983390836271394,0.00702114648527447,0.00110224450198932
"63",63,"E07000041","England","Exeter","South West","Non-metropolitan District",47,133333,2835,"Exeter",133333,0.170722926807317,0.180540451351128,0.170467926169815,0.112387780969452,0.10884777211943,0.0972602431506079,0.0815027037567594,0.0782701956754892,47259,"Exeter",0.929729224864782,0.03901573365712,0.00566343729038065
"64",64,"E07000045","England","Teignbridge","South West","Non-metropolitan District",674,135039,200,"Teignbridge",135039,0.182399158761543,0.0570353749657506,0.100000740526811,0.105302912491947,0.134346374010471,0.152378201852798,0.14443975444131,0.12409748294937,22044,"Teignbridge",0.982490742231525,0.00718885847689583,0.000941877314442119
"65",65,"E07000061","England","Eastbourne","South East","Non-metropolitan District",44,103324,2340,"Eastbourne",103324,0.192839998451473,0.0738550578761953,0.102270527660563,0.116381479617514,0.129466532460996,0.131982888777051,0.124743525221633,0.128459989934575,22066,"Eastbourne",0.939946887699674,0.0281153180702531,0.00787631271878646
