Código do Município,Sigla da Unidade da Federação,"Municípios e classes de tamanho
da população dos municípios (habitantes)",Urbana,Rural,,,,,,,
2202455,PI,Capitão Gervásio Oliveira,30.0,70.0,,,,,,,
4304671,RS,Capivari do Sul,83.0,17.0,,,,,,,
3113107,MG,Caranaíba,35.8,64.2,,,,,,,
2504074,PB,Caraúbas,38.9,61.1,,,,,,,
2202554,PI,Caridade do Piauí,32.7,67.3,,,,,,,
1703867,TO,Cariri do Tocantins,55.7,44.3,,,,,,,
4304853,RS,Carlos Gomes,23.5,76.5,,,,,,,
3113800,MG,Carmésia,53.6,46.4,,,,,,,
1703883,TO,Carmolândia,78.8,21.2,,,,,,,
3114600,MG,Carrancas,66.2,33.8,,,,,,,
2504108,PB,Carrapateira,72.0,28.0,,,,,,,
1703891,TO,Carrasco Bonito,53.3,46.7,,,,,,,
3114709,MG,Carvalhópolis,73.6,26.4,,,,,,,
3114808,MG,Carvalhos,53.5,46.5,,,,,,,
3114907,MG,Casa Grande,50.0,50.0,,,,,,,
3115003,MG,Cascalho Rico,62.9,37.1,,,,,,,
1703909,TO,Caseara,59.5,40.5,,,,,,,
4304952,RS,Caseiros,49.5,50.5,,,,,,,
3510906,SP,Cássia dos Coqueiros,68.2,31.9,,,,,,,
1100908,RO,Castanheiras,23.4,76.6,,,,,,,
5205059,GO,Castelândia,91.9,8.1,,,,,,,
3115359,MG,Catas Altas,87.5,12.5,,,,,,,
3115409,MG,Catas Altas da Noruega,41.3,58.7,,,,,,,
2504207,PB,Catingueira,59.9,40.1,,,,,,,
2907400,BA,Catolândia,37.0,63.0,,,,,,,
5205208,GO,Caturaí,78.2,21.8,,,,,,,
2504355,PB,Caturité,22.5,77.5,,,,,,,
4204103,SC,Caxambu do Sul,48.9,51.1,,,,,,,
3115607,MG,Cedro do Abaeté,85.4,14.6,,,,,,,
4204152,SC,Celso Ramos,31.5,68.5,,,,,,,
1704105,TO,Centenário,58.6,41.4,,,,,,,
4305116,RS,Centenário,32.0,68.0,,,,,,,
4305132,RS,Cerro Branco,28.6,71.4,,,,,,,
4305157,RS,Cerro Grande,34.3,65.7,,,,,,,
4204178,SC,Cerro Negro,21.3,78.7,,,,,,,
3115904,MG,Chácara,68.2,31.8,,,,,,,
1705102,TO,Chapada da Natividade,50.5,49.5,,,,,,,
1704600,TO,Chapada de Areia,56.1,43.9,,,,,,,
4204194,SC,Chapadão do Lageado,18.6,81.4,,,,,,,
4305371,RS,Charrua,16.8,83.2,,,,,,,
3116209,MG,Chiador,53.4,46.6,,,,,,,
4305405,RS,Chiapetta,61.1,38.9,,,,,,,
4305447,RS,Chuvisca,5.5,94.5,,,,,,,
4305504,RS,Ciríaco,50.7,49.3,,,,,,,
3116407,MG,Claraval,55.7,44.3,,,,,,,
2202711,PI,Cocal de Telha,58.9,41.1,,,,,,,
2202737,PI,Coivaras,30.8,69.2,,,,,,,
4305587,RS,Colinas,45.7,54.3,,,,,,,
5205521,GO,Colinas do Sul,71.7,28.3,,,,,,,
4305603,RS,Colorado,51.9,48.1,,,,,,,
1705557,TO,Combinado,85.7,14.3,,,,,,,
3116902,MG,Comendador Gomes,50.7,49.3,,,,,,,
3115201,MG,Conceição da Barra de Minas,70.6,29.4,,,,,,,
3117207,MG,Conceição das Pedras,54.9,45.1,,,,,,,
3117405,MG,Conceição de Ipanema,34.2,65.8,,,,,,,
2202802,PI,Conceição do Canindé,52.8,47.2,,,,,,,
1705607,TO,Conceição do Tocantins,69.6,30.4,,,,,,,
2504702,PB,Congo,62.8,37.2,,,,,,,
3118106,MG,Congonhas do Norte,52.6,47.4,,,,,,,
5103361,MT,Conquista D'Oeste,60.7,39.4,,,,,,,
4106100,PR,Conselheiro Mairinck,69.2,30.8,,,,,,,
3118502,MG,Consolação,55.0,45.0,,,,,,,
2908804,BA,Contendas do Sincorá,49.3,50.7,,,,,,,
4305835,RS,Coqueiro Baixo,18.5,81.5,,,,,,,
4305850,RS,Coqueiros do Sul,36.8,63.2,,,,,,,
4204350,SC,Cordilheira Alta,38.4,61.6,,,,,,,
3119005,MG,Cordislândia,80.3,19.7,,,,,,,
5003108,MS,Corguinho,38.5,61.5,,,,,,,
4305871,RS,Coronel Barros,44.5,55.6,,,,,,,
2402907,RN,Coronel João Pessoa,37.2,62.8,,,,,,,
2202851,PI,Coronel José Dias,32.8,67.2,,,,,,,
4204459,SC,Coronel Martins,27.9,72.1,,,,,,,
3119609,MG,Coronel Pacheco,71.9,28.1,,,,,,,
4305934,RS,Coronel Pilar,10.1,89.9,,,,,,,
3119708,MG,Coronel Xavier Chaves,54.5,45.5,,,,,,,
3119807,MG,Córrego Danta,61.6,38.4,,,,,,,
3119906,MG,Córrego do Bom Jesus,54.9,45.1,,,,,,,
5205703,GO,Córrego do Ouro,62.0,38.0,,,,,,,
3120003,MG,Córrego Novo,65.2,34.8,,,,,,,
3512704,SP,Corumbataí,54.0,46.0,,,,,,,
4106555,PR,Corumbataí do Sul,53.2,46.9,,,,,,,
4305959,RS,Cotiporã,52.3,47.7,,,,,,,
3120102,MG,Couto de Magalhães de Minas,91.2,8.8,,,,,,,
4305975,RS,Coxilha,61.5,38.5,,,,,,,
2504850,PB,Coxixola,44.2,55.8,,,,,,,
4306072,RS,Cristal do Sul,32.9,67.1,,,,,,,
5206305,GO,Cristianópolis,84.3,15.7,,,,,,,
1706258,TO,Crixás do Tocantins,55.8,44.3,,,,,,,
5206503,GO,Cromínia,75.3,24.8,,,,,,,
3120607,MG,Crucilândia,62.6,37.4,,,,,,,
3513306,SP,Cruzália,66.4,33.6,,,,,,,
4306130,RS,Cruzaltense,22.8,77.2,,,,,,,
3120706,MG,Cruzeiro da Fortaleza,85.4,14.6,,,,,,,
