"","division_eng_name","date","win7_Rt_estimate","win7_Rt_estimate_std","win7_stay_at_home","win7_school_close","win7_childcare_close","win7_shop_close","win7_restaurant_close","win7_bar_close","win7_entertainment_close","win7_cultural_close","win7_sports_indoor_close","win7_sports_outdoor_close","win7_gathering_inside_10lower","win7_gathering_outside_10lower","win7_gathering_outside_10over","win7_gathering_inside_10over","win7_worship_close","cv","log_win7_Rt_estimate"
"57","Aichi","2020-06-06",NA,1.14464659771081,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,1,1,0,NA,NA
"58","Aichi","2020-07-03",NA,0.565963551987282,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"59","Aichi","2020-08-08",1.26453748224713,0.0363528966414152,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0287479787288035,0.23470642863964
"60","Aichi","2020-04-05",3.5401951786735,0.521973302313756,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.147441956154897,1.2641818608443
"61","Aichi","2020-05-29",NA,0.309922323195875,0,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"62","Aichi","2020-06-25",NA,0.250517854973993,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"63","Aichi","2020-07-04",NA,0.647749451285101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"64","Aichi","2020-06-28",NA,0.158606232265588,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"65","Aichi","2020-05-21",NA,0.224204434243082,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"66","Aichi","2020-06-17",NA,0.746647859536152,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"67","Aichi","2020-08-10",1.02261725302587,0.0308611386395493,0.5,0,0,0,0.5,0.5,0.5,0,0,0,1,1,1,1,0,0.0301785820141728,0.0223652752463233
"68","Aichi","2020-07-26",3.77940059612348,0.172865759620948,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0457389353746348,1.32956542460345
"69","Aichi","2020-06-29",NA,0.246473532451922,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"70","Aichi","2020-05-13",NA,0.174077389299283,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"71","Aichi","2020-08-02",2.35278400942335,0.0700531244399046,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0297745667087707,0.855599311831692
"72","Aichi","2020-08-11",0.930659648536619,0.0289141884018979,0.5,0,0,0,0.5,0.5,0.5,0,0,0,1,1,1,1,0,0.03106848830006,-0.0718616447670985
"73","Aichi","2020-07-15",6.95861604556662,1.31505482326807,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.188982236504614,1.93998061054645
"74","Aichi","2020-05-05",0.305747703493647,0.0701433337762339,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.229415733870562,-1.18499501550227
"75","Aichi","2020-06-01",NA,0.533280809253782,0,1,1,0,0.5,0.5,1,1,1,1,0,0,1,1,1,NA,NA
"76","Aichi","2020-07-25",4.38737160353201,0.213321307215767,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0486216638326315,1.47873032421153
"77","Aichi","2020-06-04",NA,0.932935438887086,0,1,1,0,0.5,0.5,1,1,1,1,0,0,1,1,1,NA,NA
"78","Aichi","2020-04-27",0.644182318078657,0.0786993958638262,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.122169444356305,-0.439773490337154
"79","Aichi","2020-05-24",NA,0.158344863530965,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"80","Aichi","2020-07-17",11.4447792445474,1.40875494114066,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.123091490979333,2.43753366484344
"81","Aichi","2020-07-20",6.95118414519157,0.607327778625176,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0873704056661037,1.93891202566668
"82","Aichi","2020-06-11",NA,0.954290558258593,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,1,1,0,NA,NA
"83","Aichi","2020-04-19",0.937569129620802,0.0893937089924986,1,1,1,1,0,0.5,1,1,1,1,1,1,1,1,1,0.0953462589245592,-0.0644647855939144
"84","Aichi","2020-07-09",NA,0.971144966640085,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"85","Aichi","2020-08-05",1.74779593251496,0.0493562273517921,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0282391247362453,0.558355527005807
"86","Aichi","2020-05-19",NA,0.237110701612529,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"87","Aichi","2020-04-11",2.66809164120687,0.238641371197502,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0894427190999917,0.981363475741926
"88","Aichi","2020-05-08",0.34079618725136,0.0945198559705696,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.277350098112614,-1.07647067173228
"89","Aichi","2020-07-01",NA,0.403202420618566,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"90","Aichi","2020-07-13",NA,0.930182473086241,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"91","Aichi","2020-06-10",NA,1.03598758219975,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,1,1,0,NA,NA
"92","Aichi","2020-04-30",0.366311334997824,0.061051889166304,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.166666666666667,-1.00427166510114
"93","Aichi","2020-06-23",NA,0.401506102992465,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"94","Aichi","2020-06-26",NA,0.251435116102371,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"95","Aichi","2020-05-18",NA,0.241572859832889,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"96","Aichi","2020-06-20",NA,0.522600030899934,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"97","Aichi","2020-06-15",NA,0.720878460983054,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,1,1,0,NA,NA
"98","Aichi","2020-07-12",NA,0.900589619483933,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"99","Aichi","2020-06-27",NA,0.211138780911746,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"100","Aichi","2020-06-09",NA,1.00503501578717,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,1,1,0,NA,NA
"101","Aichi","2020-04-14",1.62623315397417,0.142084650370391,1,1,1,1,0,0.5,1,1,1,0,1,1,1,1,1,0.087370405666104,0.486266391974119
"102","Aichi","2020-06-07",NA,1.12295010977385,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,1,1,0,NA,NA
"103","Aichi","2020-08-03",2.11955218282381,0.0618863839198455,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0291978581236893,0.751204831853697
"104","Aichi","2020-05-11",0.507505159145781,0.14650412012397,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.288675134594812,-0.678248402313372
"105","Aichi","2020-04-06",4.37946314465377,0.527225406726829,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,1.47692614716232
"106","Aichi","2020-05-30",NA,0.456419493945632,0,1,1,0,0.5,0.5,1,1,1,1,0,0,1,1,1,NA,NA
"107","Aichi","2020-06-02",NA,0.755240987121418,0,1,1,0,0.5,0.5,1,1,1,1,0,0,1,1,1,NA,NA
"108","Aichi","2020-06-08",NA,1.07530473854484,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,1,1,0,NA,NA
"109","Aichi","2020-05-27",NA,0.222793291144897,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"110","Aichi","2020-05-22",NA,0.193471002337699,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"111","Aichi","2020-06-18",NA,0.613667564288287,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"112","Aichi","2020-06-03",NA,0.851486009074607,0,1,1,0,0.5,0.5,1,1,1,1,0,0,1,1,1,NA,NA
"113","Aichi","2020-05-16",0.864992601300513,0.249701855603943,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.288675134594813,-0.14503432549665
"114","Aichi","2020-04-25",0.958843010675213,0.095408445519475,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.0995037190209988,-0.0420279185677808
"115","Aichi","2020-05-14",0.733833149306671,0.211839383146239,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.288675134594813,-0.309473593228936
"116","Aichi","2020-05-17",NA,0.230143289722484,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"117","Aichi","2020-06-19",NA,0.601554063514799,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"118","Aichi","2020-04-17",0.87875752453669,0.089224308262064,1,1,1,1,0,0.5,1,1,1,0,1,1,1,1,1,0.101534616513362,-0.129246273121018
"119","Aichi","2020-05-06",0.319379500666013,0.0774609068178234,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.242535625036333,-1.14137522601853
"120","Aichi","2020-05-09",0.401632395869681,0.11139278439966,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.277350098112613,-0.912218046851848
"121","Aichi","2020-05-15",0.801846061294921,0.231473019668632,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.288675134594813,-0.22083863306168
"122","Aichi","2020-04-24",1.07607287890234,0.0999108585754621,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.0928476690885261,0.0733181907678075
"123","Aichi","2020-05-03",0.213551270796601,0.0517937909399567,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.242535625036332,-1.5438783308971
"124","Aichi","2020-05-25",NA,0.174257277706911,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"125","Aichi","2020-05-10",0.471694901750874,0.130824627279825,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.277350098112615,-0.751422896995245
"126","Aichi","2020-04-22",0.911957428986062,0.0894247831916507,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.098058067569092,-0.0921619687406452
"127","Aichi","2020-04-09",4.00195550081105,0.366858659276727,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0916698497028211,1.3867831168621
"128","Aichi","2020-04-20",0.66540442994118,0.0753422154440474,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.113227703414459,-0.407360257858786
"129","Aichi","2020-04-23",1.02675309405684,0.0961642379891245,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.0936585811581698,0.0264014872971197
"130","Aichi","2020-05-26",NA,0.194904818998119,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,NA,NA
"131","Aichi","2020-05-02",0.172316441304688,0.0444919138300522,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.258198889747161,-1.75842271745462
"132","Aichi","2020-04-15",1.12003818348902,0.110360641485368,1,1,1,1,0,0.5,1,1,1,0,1,1,1,1,1,0.0985329278164291,0.113362777126781
"133","Aichi","2020-04-21",0.809881576963001,0.0835329065433216,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.103142124625879,-0.210867243284347
"134","Aichi","2020-05-01",0.310834708345365,0.0577205562833579,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.185695338177052,-1.16849399251086
"135","Aichi","2020-04-16",1.10408288645871,0.103863381171691,1,1,1,1,0,0.5,1,1,1,0,1,1,1,1,1,0.0940720868383601,0.0990150233507169
"136","Aichi","2020-04-08",3.92101362187872,0.406590172026823,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.103695169473043,1.36635019738698
"137","Aichi","2020-04-07",4.88175324906778,0.503514402008141,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.103142124625879,1.58550442769215
"138","Akita","2020-07-28",NA,9.07794674139242,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"139","Akita","2020-07-15",NA,4.99999999999991,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"140","Akita","2020-04-01",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"141","Akita","2020-07-07",NA,4.99999999999511,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"142","Akita","2020-07-27",NA,12.7090956438912,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"143","Akita","2020-07-30",NA,2.5199105909018,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
