"","intervention","exclude","b","se"
"119","Religion14",NA,NA,NA
"120","Religion15",NA,NA,NA
"121","Sports indoor1","Default",NA,NA
"122","Sports indoor2","School",-0.0804594301122728,0.0591042557116193
"123","Sports indoor3","Childcare",-0.0816653915354464,0.0593717364296909
"124","Sports indoor4","Retail",-0.0873573530062775,0.0588263091589991
"125","Sports indoor5","Restaurant",-0.0855972201727301,0.0587697975137046
"126","Sports indoor","Bar",-0.0753513838583684,0.0592185796642493
"127","Sports indoor7","Entertainment",-0.101854301758046,0.057431506816841
"128","Sports indoor8","Culture",-0.0613777781485266,0.0598502038425182
"129","Sports indoor9","Religion",-0.081689813666353,0.0592107223120857
"130","Sports indoor10","Stay-at-home",-0.0858441477774214,0.0578597731086546
"131","Sports indoor11","Small group out",-0.0663114362318717,0.0598999235382515
"132","Sports indoor12","Large group out",-0.0640581407837398,0.0593805748395623
"133","Sports indoor13","Add",-0.0824587090024819,0.058899560144386
"134","Sports indoor14",NA,NA,NA
"135","Sports indoor15",NA,NA,NA
