MSA,pincom2019
"Morgantown, WV","44,458"
"Morristown, TN","37,452"
"Mount Vernon-Anacortes, WA","54,505"
"Muncie, IN","38,129"
"Muskegon, MI","39,637"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","40,494"
"Napa, CA","75,717"
"Naples-Marco Island, FL","99,382"
"Nashville-Davidson--Murfreesboro--Franklin, TN","60,680"
"New Bern, NC","45,788"
"New Haven-Milford, CT","57,748"
"New Orleans-Metairie, LA","54,363"
"New York-Newark-Jersey City, NY-NJ-PA","79,844"
"Niles, MI","48,237"
"North Port-Sarasota-Bradenton, FL","58,081"
"Norwich-New London, CT","59,717"
"Ocala, FL","38,293"
"Ocean City, NJ","62,734"
"Odessa, TX","50,161"
"Ogden-Clearfield, UT","46,123"
"Oklahoma City, OK","48,860"
"Olympia-Lacey-Tumwater, WA","52,828"
"Omaha-Council Bluffs, NE-IA","58,947"
"Orlando-Kissimmee-Sanford, FL","45,156"
"Oshkosh-Neenah, WI","49,276"
"Owensboro, KY","41,858"
"Oxnard-Thousand Oaks-Ventura, CA","64,715"
"Palm Bay-Melbourne-Titusville, FL","47,911"
"Panama City, FL","45,690"
"Parkersburg-Vienna, WV","43,967"
"Pensacola-Ferry Pass-Brent, FL","44,947"
"Peoria, IL","49,097"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","66,596"
"Phoenix-Mesa-Chandler, AZ","48,065"
"Pine Bluff, AR","35,611"
"Pittsburgh, PA","60,227"
"Pittsfield, MA","58,299"
"Pocatello, ID","39,573"
"Portland-South Portland, ME","60,000"
"Portland-Vancouver-Hillsboro, OR-WA","59,921"
"Port St. Lucie, FL","55,691"
"Poughkeepsie-Newburgh-Middletown, NY","55,745"
"Prescott Valley-Prescott, AZ","41,393"
"Providence-Warwick, RI-MA","56,138"
"Provo-Orem, UT","42,923"
"Pueblo, CO","40,680"
"Punta Gorda, FL","42,793"
"Racine, WI","50,845"
"Raleigh-Cary, NC","57,851"
"Rapid City, SD","51,335"
"Reading, PA","51,299"
"Redding, CA","48,438"
"Reno, NV","63,328"
"Richmond, VA","58,628"
"Riverside-San Bernardino-Ontario, CA","42,242"
"Roanoke, VA","48,374"
"Rochester, MN","56,050"
"Rochester, NY","53,230"
"Rockford, IL","44,783"
"Rocky Mount, NC","41,444"
"Rome, GA","39,314"
"Sacramento-Roseville-Folsom, CA","58,843"
"Saginaw, MI","40,533"
"St. Cloud, MN","47,436"
"St. George, UT","40,886"
"St. Joseph, MO-KS","40,135"
"St. Louis, MO-IL","56,923"
"Salem, OR","44,709"
"Salinas, CA","59,838"
"Salisbury, MD-DE","49,473"
"Salt Lake City, UT","54,450"
"San Angelo, TX","49,308"
"San Antonio-New Braunfels, TX","48,684"
"San Diego-Chula Vista-Carlsbad, CA","63,729"
"San Francisco-Oakland-Berkeley, CA","104,921"
"San Jose-Sunnyvale-Santa Clara, CA","114,080"
"San Luis Obispo-Paso Robles, CA","61,004"
"Santa Cruz-Watsonville, CA","71,592"
"Santa Fe, NM","60,276"
"Santa Maria-Santa Barbara, CA","66,076"
"Santa Rosa-Petaluma, CA","66,700"
"Savannah, GA","47,869"
"Scranton--Wilkes-Barre, PA","47,385"
"Seattle-Tacoma-Bellevue, WA","78,073"
"Sebastian-Vero Beach, FL","80,818"
"Sebring-Avon Park, FL","34,480"
"Sheboygan, WI","54,703"
"Sherman-Denison, TX","43,987"
"Shreveport-Bossier City, LA","48,310"
"Sierra Vista-Douglas, AZ","41,766"
"Sioux City, IA-NE-SD","52,829"
"Sioux Falls, SD","62,003"
"South Bend-Mishawaka, IN-MI","48,035"
"Spartanburg, SC","44,169"
"Spokane-Spokane Valley, WA","47,827"
"Springfield, IL","49,301"
"Springfield, MA","53,978"
"Springfield, MO","42,605"
"Springfield, OH","41,811"
"State College, PA","47,564"
"Staunton, VA","45,658"
"Stockton, CA","47,139"
"Sumter, SC","38,687"
"Syracuse, NY","52,051"
"Tallahassee, FL","44,232"
"Tampa-St. Petersburg-Clearwater, FL","48,908"
"Terre Haute, IN","38,851"
"Texarkana, TX-AR","38,910"
"The Villages, FL","48,387"
"Toledo, OH","48,330"
"Topeka, KS","47,418"
"Trenton-Princeton, NJ","71,790"
"Tucson, AZ","45,456"
"Tulsa, OK","56,540"
"Tuscaloosa, AL","39,738"
"Twin Falls, ID","41,899"
"Tyler, TX","56,292"
"Urban Honolulu, HI","61,174"
"Utica-Rome, NY","46,151"
"Valdosta, GA","37,623"
"Vallejo, CA","53,505"
"Victoria, TX","48,681"
"Vineland-Bridgeton, NJ","41,237"
"Virginia Beach-Norfolk-Newport News, VA-NC","52,011"
"Visalia, CA","42,845"
"Waco, TX","41,723"
"Walla Walla, WA","48,444"
"Warner Robins, GA","43,358"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","74,385"
"Waterloo-Cedar Falls, IA","47,623"
"Watertown-Fort Drum, NY","49,365"
"Wausau-Weston, WI","51,295"
"Weirton-Steubenville, WV-OH","42,158"
"Wenatchee, WA","51,023"
"Wheeling, WV-OH","49,301"
"Wichita, KS","52,129"
"Wichita Falls, TX","44,910"
"Williamsport, PA","44,941"
"Wilmington, NC","45,975"
"Winchester, VA-WV","49,643"
"Winston-Salem, NC","45,904"
"Worcester, MA-CT","57,214"
"Yakima, WA","45,757"
"York-Hanover, PA","51,585"
"Youngstown-Warren-Boardman, OH-PA","43,167"
"Yuba City, CA","45,782"
"Yuma, AZ","36,570"
