MSA,gdp2017
"Morgantown, WV","8,146"
"Morristown, TN","4,413"
"Mount Vernon-Anacortes, WA","6,643"
"Muncie, IN","3,961"
"Muskegon, MI","5,906"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","17,216"
"Napa, CA","11,446"
"Naples-Immokalee-Marco Island, FL","18,236"
"Nashville-Davidson--Murfreesboro--Franklin, TN","133,251"
"New Bern, NC","4,988"
"New Haven-Milford, CT","45,252"
"New Orleans-Metairie, LA","79,290"
"New York-Newark-Jersey City, NY-NJ-PA","1,717,712"
"Niles-Benton Harbor, MI","6,757"
"North Port-Sarasota-Bradenton, FL","31,197"
"Norwich-New London, CT","15,754"
"Ocala, FL","8,654"
"Ocean City, NJ","5,247"
"Odessa, TX","9,958"
"Ogden-Clearfield, UT","26,476"
"Oklahoma City, OK","74,884"
"Olympia-Tumwater, WA","12,426"
"Omaha-Council Bluffs, NE-IA","65,053"
"Orlando-Kissimmee-Sanford, FL","132,448"
"Oshkosh-Neenah, WI","10,511"
"Owensboro, KY","5,635"
"Oxnard-Thousand Oaks-Ventura, CA","50,848"
"Palm Bay-Melbourne-Titusville, FL","21,849"
"Panama City, FL","8,447"
"Parkersburg-Vienna, WV","4,278"
"Pensacola-Ferry Pass-Brent, FL","18,016"
"Peoria, IL","18,983"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","444,975"
"Phoenix-Mesa-Scottsdale, AZ","242,951"
"Pine Bluff, AR","3,076"
"Pittsburgh, PA","147,367"
"Pittsfield, MA","7,119"
"Pocatello, ID","2,818"
"Portland-South Portland, ME","32,143"
"Portland-Vancouver-Hillsboro, OR-WA","171,772"
"Port St. Lucie, FL","13,933"
"Prescott, AZ","6,111"
"Providence-Warwick, RI-MA","82,929"
"Provo-Orem, UT","25,625"
"Pueblo, CO","5,236"
"Punta Gorda, FL","4,321"
"Racine, WI","8,080"
"Raleigh, NC","83,288"
"Rapid City, SD","6,881"
"Reading, PA","18,679"
"Redding, CA","7,037"
"Reno, NV","26,631"
"Richmond, VA","82,739"
"Riverside-San Bernardino-Ontario, CA","157,931"
"Roanoke, VA","15,324"
"Rochester, MN","12,568"
"Rochester, NY","56,550"
"Rockford, IL","15,333"
"Rocky Mount, NC","5,897"
"Rome, GA","3,949"
"Sacramento--Roseville--Arden-Arcade, CA","126,352"
"Saginaw, MI","8,163"
"St. Cloud, MN","10,226"
"St. George, UT","5,538"
"St. Joseph, MO-KS","5,626"
"St. Louis, MO-IL","161,281"
"Salem, OR","17,333"
"Salinas, CA","24,096"
"Salisbury, MD-DE","19,660"
"Salt Lake City, UT","87,801"
"San Angelo, TX","5,142"
"San Antonio-New Braunfels, TX","129,298"
"San Diego-Carlsbad, CA","231,845"
"San Francisco-Oakland-Hayward, CA","500,710"
"San Jose-Sunnyvale-Santa Clara, CA","275,293"
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","15,207"
"Santa Cruz-Watsonville, CA","13,373"
"Santa Fe, NM","7,256"
