2020rank,City,State[c],2020estimate,2010census,Change,2016 land area,2016 land area,2016 population density,2016 population density,Location
65,Pittsburgh,Pennsylvania,"299,226","305,704",−2.12%,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2",40°26′N 79°58′W﻿ / ﻿40.43°N 79.97°W
66,Greensboro,North Carolina,"297,878","269,666",+10.46%,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2,36°05′N 79°49′W﻿ / ﻿36.09°N 79.82°W
67,St. Louis[m],Missouri,"297,645","319,294",−6.78%,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2",38°38′N 90°14′W﻿ / ﻿38.63°N 90.24°W
68,Plano,Texas,"291,296","259,841",+12.11%,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2",33°03′N 96°44′W﻿ / ﻿33.05°N 96.74°W
69,Lincoln,Nebraska,"290,505","258,379",+12.43%,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2",40°49′N 96°41′W﻿ / ﻿40.81°N 96.68°W
70,Orlando,Florida,"289,457","238,300",+21.47%,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2",28°25′N 81°16′W﻿ / ﻿28.41°N 81.27°W
71,Anchorage[p],Alaska,"287,095","291,826",−1.62%,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2,61°10′N 149°17′W﻿ / ﻿61.17°N 149.28°W
72,Durham,North Carolina,"285,897","228,330",+25.21%,109.8 sq mi,284.4 km2,"2,395/sq mi",925/km2,35°59′N 78°54′W﻿ / ﻿35.98°N 78.90°W
73,Irvine,California,"283,700","212,375",+33.58%,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2",33°40′N 117°46′W﻿ / ﻿33.67°N 117.77°W
74,Newark,New Jersey,"282,520","277,140",+1.94%,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2",40°43′N 74°10′W﻿ / ﻿40.72°N 74.17°W
75,Chula Vista,California,"272,979","243,916",+11.92%,49.6 sq mi,128.5 km2,"5,387/sq mi","2,080/km2",32°37′N 117°01′W﻿ / ﻿32.62°N 117.01°W
76,Fort Wayne,Indiana,"272,398","253,691",+7.37%,110.6 sq mi,286.5 km2,"2,391/sq mi",923/km2,41°05′N 85°08′W﻿ / ﻿41.08°N 85.14°W
77,Toledo,Ohio,"271,455","287,208",−5.48%,80.7 sq mi,209.0 km2,"3,451/sq mi","1,332/km2",41°40′N 83°35′W﻿ / ﻿41.66°N 83.58°W
78,St. Petersburg,Florida,"267,802","244,769",+9.41%,61.8 sq mi,160.1 km2,"4,223/sq mi","1,631/km2",27°46′N 82°38′W﻿ / ﻿27.76°N 82.64°W
79,Chandler,Arizona,"265,398","236,123",+12.40%,64.9 sq mi,168.1 km2,"3,813/sq mi","1,472/km2",33°17′N 111°51′W﻿ / ﻿33.28°N 111.85°W
80,Laredo,Texas,"263,640","236,091",+11.67%,101.1 sq mi,261.8 km2,"2,544/sq mi",982/km2,27°34′N 99°29′W﻿ / ﻿27.56°N 99.48°W
81,Madison,Wisconsin,"263,094","233,209",+12.81%,77.0 sq mi,199.4 km2,"3,280/sq mi","1,270/km2",43°05′N 89°25′W﻿ / ﻿43.08°N 89.42°W
82,Jersey City,New Jersey,"262,664","247,597",+6.09%,14.8 sq mi,38.3 km2,"17,848/sq mi","6,891/km2",40°43′N 74°04′W﻿ / ﻿40.71°N 74.06°W
83,Scottsdale,Arizona,"262,647","217,385",+20.82%,183.9 sq mi,476.3 km2,"1,341/sq mi",518/km2,33°41′N 111°52′W﻿ / ﻿33.68°N 111.86°W
84,Lubbock,Texas,"262,611","229,573",+14.39%,124.6 sq mi,322.7 km2,"2,027/sq mi",783/km2,33°34′N 101°53′W﻿ / ﻿33.56°N 101.88°W
85,North Las Vegas,Nevada,"260,098","216,961",+19.88%,98.0 sq mi,253.8 km2,"2,436/sq mi",941/km2,36°17′N 115°05′W﻿ / ﻿36.28°N 115.09°W
86,Reno,Nevada,"259,290","225,221",+15.13%,107.3 sq mi,277.9 km2,"2,286/sq mi",883/km2,39°32′N 119°50′W﻿ / ﻿39.54°N 119.84°W
87,Gilbert[q],Arizona,"257,658","208,453",+23.60%,68.0 sq mi,176.1 km2,"3,487/sq mi","1,346/km2",33°19′N 111°44′W﻿ / ﻿33.31°N 111.74°W
88,Glendale,Arizona,"255,307","226,721",+12.61%,59.1 sq mi,153.1 km2,"4,161/sq mi","1,607/km2",33°32′N 112°11′W﻿ / ﻿33.53°N 112.18°W
89,Buffalo,New York,"254,479","261,310",−2.61%,40.4 sq mi,104.6 km2,"6,359/sq mi","2,455/km2",42°53′N 78°51′W﻿ / ﻿42.89°N 78.85°W
90,Winston–Salem,North Carolina,"248,112","229,617",+8.05%,132.5 sq mi,343.2 km2,"1,828/sq mi",706/km2,36°06′N 80°16′W﻿ / ﻿36.10°N 80.26°W
91,Chesapeake[m],Virginia,"247,011","222,209",+11.16%,338.5 sq mi,876.7 km2,703/sq mi,271/km2,36°40′N 76°18′W﻿ / ﻿36.67°N 76.30°W
92,Norfolk[m],Virginia,"242,803","242,803",0.00%,53.3 sq mi,138.0 km2,"4,599/sq mi","1,776/km2",36°55′N 76°14′W﻿ / ﻿36.92°N 76.24°W
93,Irving,Texas,"240,916","216,290",+11.39%,67.0 sq mi,173.5 km2,"3,557/sq mi","1,373/km2",32°51′N 96°58′W﻿ / ﻿32.85°N 96.97°W
94,Garland,Texas,"238,139","226,876",+4.96%,57.0 sq mi,147.6 km2,"4,122/sq mi","1,592/km2",32°54′N 96°38′W﻿ / ﻿32.90°N 96.63°W
95,Fremont,California,"234,569","214,089",+9.57%,77.5 sq mi,200.7 km2,"3,008/sq mi","1,161/km2",37°29′N 121°56′W﻿ / ﻿37.49°N 121.94°W
96,Richmond[m],Virginia,"232,226","204,214",+13.72%,59.8 sq mi,154.9 km2,"3,732/sq mi","1,441/km2",37°32′N 77°28′W﻿ / ﻿37.53°N 77.47°W
97,Hialeah,Florida,"232,037","224,669",+3.28%,21.5 sq mi,55.7 km2,"10,995/sq mi","4,245/km2",25°52′N 80°18′W﻿ / ﻿25.86°N 80.30°W
98,Boise[r],Idaho,"229,776","205,671",+11.72%,82.1 sq mi,212.6 km2,"2,718/sq mi","1,049/km2",43°36′N 116°14′W﻿ / ﻿43.60°N 116.23°W
99,Spokane,Washington,"222,050","208,916",+6.29%,68.7 sq mi,177.9 km2,"3,144/sq mi","1,214/km2",47°40′N 117°26′W﻿ / ﻿47.66°N 117.43°W
100,Tacoma,Washington,"219,945","198,397",+10.86%,49.7 sq mi,128.7 km2,"4,251/sq mi","1,641/km2",47°15′N 122°27′W﻿ / ﻿47.25°N 122.45°W
101,Baton Rouge[s],Louisiana,"219,052","229,493",−4.55%,85.9 sq mi,222.5 km2,"2,651/sq mi","1,024/km2",30°26′N 91°08′W﻿ / ﻿30.44°N 91.13°W
102,San Bernardino,California,"217,491","209,924",+3.60%,61.5 sq mi,159.3 km2,"3,516/sq mi","1,358/km2",34°08′N 117°17′W﻿ / ﻿34.14°N 117.29°W
103,Fontana,California,"216,173","196,069",+10.25%,43.0 sq mi,111.4 km2,"4,876/sq mi","1,883/km2",34°06′N 117°28′W﻿ / ﻿34.10°N 117.46°W
104,Modesto,California,"215,666","201,165",+7.21%,43.0 sq mi,111.4 km2,"4,934/sq mi","1,905/km2",37°38′N 121°00′W﻿ / ﻿37.63°N 121.00°W
105,Moreno Valley,California,"212,349","193,365",+9.82%,51.3 sq mi,132.9 km2,"4,006/sq mi","1,547/km2",33°55′N 117°12′W﻿ / ﻿33.92°N 117.20°W
106,Des Moines,Iowa,"212,312","203,433",+4.36%,88.9 sq mi,230.2 km2,"2,424/sq mi",936/km2,41°34′N 93°37′W﻿ / ﻿41.57°N 93.61°W
107,Fayetteville,North Carolina,"211,705","200,564",+5.55%,147.7 sq mi,382.5 km2,"1,386/sq mi",535/km2,35°05′N 78°58′W﻿ / ﻿35.08°N 78.97°W
108,Santa Clarita,California,"209,990","176,320",+19.10%,52.8 sq mi,136.8 km2,"3,446/sq mi","1,331/km2",34°24′N 118°30′W﻿ / ﻿34.40°N 118.50°W
109,Frisco,Texas,"209,980","116,989",+79.49%,67.7 sq mi,175.3 km2,"2,417/sq mi",933/km2,33°09′N 96°49′W﻿ / ﻿33.15°N 96.82°W
110,Port St. Lucie,Florida,"209,715","164,603",+27.41%,118.9 sq mi,307.9 km2,"1,557/sq mi",601/km2,27°17′N 80°23′W﻿ / ﻿27.28°N 80.38°W
111,McKinney,Texas,"208,272","131,117",+58.84%,63.0 sq mi,163.2 km2,"2,735/sq mi","1,056/km2",33°11′N 96°40′W﻿ / ﻿33.19°N 96.66°W
112,Oxnard,California,"207,945","197,899",+5.08%,26.9 sq mi,69.7 km2,"7,729/sq mi","2,984/km2",34°12′N 119°12′W﻿ / ﻿34.20°N 119.20°W
113,Birmingham,Alabama,"206,950","212,237",−2.49%,146.1 sq mi,378.4 km2,"1,452/sq mi",561/km2,33°31′N 86°47′W﻿ / ﻿33.52°N 86.79°W
114,Rochester,New York,"205,225","210,565",−2.54%,35.8 sq mi,92.7 km2,"5,835/sq mi","2,253/km2",43°10′N 77°37′W﻿ / ﻿43.16°N 77.61°W
115,Salt Lake City,Utah,"204,087","186,440",+9.47%,111.2 sq mi,288.0 km2,"1,742/sq mi",673/km2,40°46′N 111°56′W﻿ / ﻿40.77°N 111.93°W
116,Huntsville,Alabama,"202,964","180,105",+12.69%,213.4 sq mi,552.7 km2,905/sq mi,349/km2,34°41′N 86°40′W﻿ / ﻿34.69°N 86.67°W
117,Cape Coral,Florida,"200,972","154,305",+30.24%,105.6 sq mi,273.5 km2,"1,703/sq mi",658/km2,26°38′N 81°59′W﻿ / ﻿26.64°N 81.99°W
118,Tempe,Arizona,"200,402","161,719",+23.92%,40.0 sq mi,103.6 km2,"4,562/sq mi","1,761/km2",33°23′N 111°56′W﻿ / ﻿33.38°N 111.93°W
119,Yonkers,New York,"200,040","195,976",+2.07%,18.0 sq mi,46.6 km2,"11,156/sq mi","4,307/km2",40°56′N 73°52′W﻿ / ﻿40.94°N 73.86°W
120,Grand Rapids,Michigan,"200,031","188,040",+6.38%,44.4 sq mi,115.0 km2,"4,424/sq mi","1,708/km2",42°58′N 85°39′W﻿ / ﻿42.96°N 85.65°W
121,Amarillo,Texas,"199,654","190,695",+4.70%,101.4 sq mi,262.6 km2,"1,968/sq mi",760/km2,35°11′N 101°50′W﻿ / ﻿35.19°N 101.83°W
122,Huntington Beach,California,"198,246","189,992",+4.34%,26.9 sq mi,69.7 km2,"7,459/sq mi","2,880/km2",33°41′N 118°00′W﻿ / ﻿33.69°N 118.00°W
123,Little Rock,Arkansas,"197,866","193,524",+2.24%,118.7 sq mi,307.4 km2,"1,673/sq mi",646/km2,34°43′N 92°21′W﻿ / ﻿34.72°N 92.35°W
124,Glendale,California,"197,747","191,719",+3.14%,30.4 sq mi,78.7 km2,"6,606/sq mi","2,551/km2",34°11′N 118°14′W﻿ / ﻿34.18°N 118.24°W
125,Augusta[t],Georgia,"197,468","195,844",+0.83%,302.5 sq mi,783.5 km2,652/sq mi,252/km2,33°22′N 82°04′W﻿ / ﻿33.36°N 82.07°W
126,Overland Park,Kansas,"197,381","173,372",+13.85%,75.1 sq mi,194.5 km2,"2,516/sq mi",971/km2,38°53′N 94°41′W﻿ / ﻿38.88°N 94.69°W
127,Columbus[u],Georgia,"196,442","189,885",+3.45%,216.4 sq mi,560.5 km2,913/sq mi,353/km2,32°31′N 84°52′W﻿ / ﻿32.51°N 84.87°W
128,Aurora,Illinois,"196,383","197,899",−0.77%,44.9 sq mi,116.3 km2,"4,479/sq mi","1,729/km2",41°46′N 88°17′W﻿ / ﻿41.76°N 88.29°W
129,Tallahassee,Florida,"196,326","181,376",+8.24%,100.4 sq mi,260.0 km2,"1,901/sq mi",734/km2,30°27′N 84°15′W﻿ / ﻿30.45°N 84.25°W
130,Montgomery,Alabama,"196,268","205,764",−4.61%,159.8 sq mi,413.9 km2,"1,252/sq mi",483/km2,32°20′N 86°16′W﻿ / ﻿32.34°N 86.26°W
131,Akron,Ohio,"195,994","199,110",−1.56%,62.0 sq mi,160.6 km2,"3,188/sq mi","1,231/km2",41°05′N 81°31′W﻿ / ﻿41.08°N 81.52°W
132,Grand Prairie,Texas,"195,272","175,396",+11.33%,72.3 sq mi,187.3 km2,"2,637/sq mi","1,018/km2",32°41′N 97°01′W﻿ / ﻿32.68°N 97.02°W
133,Knoxville,Tennessee,"190,223","178,874",+6.34%,98.5 sq mi,255.1 km2,"1,891/sq mi",730/km2,35°58′N 83°56′W﻿ / ﻿35.97°N 83.94°W
134,Sioux Falls,South Dakota,"187,809","153,888",+22.04%,75.4 sq mi,195.3 km2,"2,312/sq mi",893/km2,43°32′N 96°44′W﻿ / ﻿43.53°N 96.73°W
135,Mobile,Alabama,"187,746","195,111",−3.77%,139.4 sq mi,361.0 km2,"1,384/sq mi",534/km2,30°40′N 88°06′W﻿ / ﻿30.66°N 88.10°W
136,Vancouver,Washington,"186,192","161,791",+15.08%,46.9 sq mi,121.5 km2,"3,728/sq mi","1,439/km2",45°38′N 122°35′W﻿ / ﻿45.63°N 122.59°W
137,Shreveport,Louisiana,"184,786","199,311",−7.29%,107.1 sq mi,277.4 km2,"1,820/sq mi",700/km2,32°28′N 93°47′W﻿ / ﻿32.46°N 93.79°W
138,Chattanooga,Tennessee,"184,742","167,674",+10.18%,143.1 sq mi,370.6 km2,"1,241/sq mi",479/km2,35°04′N 85°14′W﻿ / ﻿35.06°N 85.24°W
139,Worcester,Massachusetts,"184,570","181,045",+1.95%,37.4 sq mi,96.9 km2,"4,933/sq mi","1,905/km2",42°16′N 71°48′W﻿ / ﻿42.26°N 71.80°W
140,Brownsville,Texas,"183,428","175,023",+4.80%,132.5 sq mi,343.2 km2,"1,387/sq mi",536/km2,25°59′N 97°27′W﻿ / ﻿25.99°N 97.45°W
141,Ontario,California,"183,393","163,924",+11.88%,49.9 sq mi,129.2 km2,"3,471/sq mi","1,340/km2",34°02′N 117°36′W﻿ / ﻿34.03°N 117.60°W
142,Fort Lauderdale,Florida,"182,245","165,521",+10.10%,34.6 sq mi,89.6 km2,"5,166/sq mi","1,995/km2",26°08′N 80°08′W﻿ / ﻿26.14°N 80.14°W
143,Peoria,Arizona,"179,872","154,065",+16.75%,175.7 sq mi,455.1 km2,934/sq mi,361/km2,33°47′N 112°18′W﻿ / ﻿33.78°N 112.30°W
144,Providence,Rhode Island,"179,270","178,042",+0.69%,18.4 sq mi,47.7 km2,"9,740/sq mi","3,760/km2",41°49′N 71°25′W﻿ / ﻿41.82°N 71.41°W
145,Newport News[m],Virginia,"179,062","180,719",−0.92%,69.1 sq mi,179.0 km2,"2,631/sq mi","1,016/km2",37°04′N 76°31′W﻿ / ﻿37.07°N 76.52°W
146,Rancho Cucamonga,California,"178,849","165,269",+8.22%,40.0 sq mi,103.6 km2,"4,413/sq mi","1,704/km2",34°07′N 117°34′W﻿ / ﻿34.12°N 117.56°W
147,Elk Grove,California,"177,302","153,015",+15.87%,42.2 sq mi,109.3 km2,"4,022/sq mi","1,553/km2",38°25′N 121°23′W﻿ / ﻿38.41°N 121.38°W
148,Salem,Oregon,"175,891","154,637",+13.74%,48.6 sq mi,125.9 km2,"3,445/sq mi","1,330/km2",44°55′N 123°01′W﻿ / ﻿44.92°N 123.02°W
