2020rank,City,State[c],2020estimate,2010census,Change,2016 land area,2016 land area,2016 population density,2016 population density,Location
302,Tuscaloosa,Alabama,"102,819","90,468",+13.65%,71.7 sq mi,185.7 km2,"1,399/sq mi",540/km2,33°12′N 87°32′W﻿ / ﻿33.20°N 87.53°W
303,Norwalk,California,"102,635","105,549",−2.76%,9.7 sq mi,25.1 km2,"10,946/sq mi","4,226/km2",33°54′N 118°05′W﻿ / ﻿33.90°N 118.08°W
304,South Fulton,Georgia,"102,567",0,NA[ad],84.8 sq mi,219.6 km2,"1,147/sq mi",443/km2,33°35′N 84°40′W﻿ / ﻿33.59°N 84.67°W
305,El Cajon,California,"102,401","99,478",+2.94%,14.5 sq mi,37.6 km2,"7,156/sq mi","2,763/km2",32°48′N 116°58′W﻿ / ﻿32.80°N 116.96°W
306,San Mateo,California,"102,398","97,207",+5.34%,12.1 sq mi,31.3 km2,"8,592/sq mi","3,317/km2",37°34′N 122°19′W﻿ / ﻿37.56°N 122.31°W
307,Edinburg,Texas,"102,374","77,100",+32.78%,37.6 sq mi,97.4 km2,"2,691/sq mi","1,039/km2",26°18′N 98°10′W﻿ / ﻿26.30°N 98.16°W
308,Bend,Oregon,"101,886","76,639",+32.94%,33.1 sq mi,85.7 km2,"3,034/sq mi","1,171/km2",44°03′N 121°18′W﻿ / ﻿44.05°N 121.30°W
309,South Bend,Indiana,"101,868","101,168",+0.69%,41.4 sq mi,107.2 km2,"2,457/sq mi",949/km2,41°40′N 86°16′W﻿ / ﻿41.67°N 86.26°W
310,Burbank,California,"101,866","103,340",−1.43%,17.4 sq mi,45.1 km2,"6,003/sq mi","2,318/km2",34°11′N 118°19′W﻿ / ﻿34.19°N 118.32°W
311,Davenport,Iowa,"101,799","99,685",+2.12%,62.9 sq mi,162.9 km2,"1,631/sq mi",630/km2,41°33′N 90°36′W﻿ / ﻿41.55°N 90.60°W
312,Carmel,Indiana,"101,643","79,191",+28.35%,47.5 sq mi,123.0 km2,"2,128/sq mi",822/km2,39°58′N 86°06′W﻿ / ﻿39.96°N 86.10°W
313,San Angelo,Texas,"101,612","93,200",+9.03%,59.9 sq mi,155.1 km2,"1,681/sq mi",649/km2,31°26′N 100°27′W﻿ / ﻿31.44°N 100.45°W
314,Renton,Washington,"101,494","90,927",+11.62%,23.4 sq mi,60.6 km2,"4,314/sq mi","1,666/km2",47°28′N 122°11′W﻿ / ﻿47.47°N 122.19°W
315,Lees Summit,Missouri,"101,467","91,364",+11.06%,63.8 sq mi,165.2 km2,"1,557/sq mi",601/km2,38°55′N 94°22′W﻿ / ﻿38.92°N 94.37°W
316,Vacaville,California,"101,332","92,428",+9.63%,29.0 sq mi,75.1 km2,"3,449/sq mi","1,332/km2",38°21′N 121°58′W﻿ / ﻿38.35°N 121.97°W
317,Vista,California,"100,636","93,834",+7.25%,18.7 sq mi,48.4 km2,"5,436/sq mi","2,099/km2",33°11′N 117°14′W﻿ / ﻿33.18°N 117.23°W
