CBSA_code,MSA,Median,Under18,y18to24,y25to34,y35to44,y45to54,y55to64,y65to74,y75,,,,,,,,,
16740,"Charlotte-Gastonia-Rock Hill, NC-SC",35.4,"455,950 ","157,120 ","254,321 ","276,139 ","252,313 ","184,745 ","101,863 ","75,587 ",,,,,,,,,
16820,"Charlottesville, VA",36.7,"41,160 ","28,249 ","27,462 ","24,425 ","28,271 ","24,496 ","15,026 ","12,470 ",,,,,,,,,
16860,"Chattanooga, TN-GA",39.4,"117,874 ","50,350 ","66,123 ","69,445 ","77,604 ","69,284 ","42,755 ","34,708 ",,,,,,,,,
16940,"Cheyenne, WY",37.0,"22,401 ","8,916 ","12,355 ","11,391 ","13,554 ","11,616 ","6,441 ","5,064 ",,,,,,,,,
16980,"Chicago-Joliet-Naperville, IL-IN-WI",35.8,"2,377,810 ","889,096 ","1,364,655 ","1,320,212 ","1,378,201 ","1,051,238 ","578,996 ","500,897 ",,,,,,,,,
17020,"Chico, CA",37.2,"46,168 ","32,250 ","26,681 ","23,329 ","28,877 ","28,878 ","17,185 ","16,632 ",,,,,,,,,
17140,"Cincinnati-Middletown, OH-KY-IN",37.2,"531,378 ","202,591 ","274,269 ","283,738 ","325,247 ","252,749 ","139,716 ","120,463 ",,,,,,,,,
17300,"Clarksville, TN-KY",30.7,"75,563 ","33,758 ","44,413 ","35,131 ","33,467 ","25,283 ","15,316 ","11,018 ",,,,,,,,,
17420,"Cleveland, TN",38.8,"26,461 ","11,723 ","13,867 ","15,724 ","16,748 ","14,394 ","9,992 ","6,879 ",,,,,,,,,
17460,"Cleveland-Elyria-Mentor, OH",40.5,"481,344 ","173,680 ","242,552 ","265,676 ","326,882 ","271,394 ","158,767 ","156,945 ",,,,,,,,,
17660,"Coeur d'Alene, ID",38.9,"34,244 ","12,008 ","16,742 ","17,248 ","19,864 ","18,310 ","11,464 ","8,614 ",,,,,,,,,
17780,"College Station-Bryan, TX",25.8,"48,089 ","62,695 ","33,341 ","23,127 ","23,255 ","18,317 ","10,827 ","9,009 ",,,,,,,,,
17820,"Colorado Springs, CO",34.6,"167,456 ","69,372 ","89,335 ","84,479 ","97,636 ","72,261 ","37,528 ","27,546 ",,,,,,,,,
17860,"Columbia, MO",30.0,"36,429 ","35,422 ","25,812 ","19,684 ","21,357 ","17,401 ","8,946 ","7,735 ",,,,,,,,,
17900,"Columbia, SC",35.7,"180,161 ","91,468 ","105,788 ","101,614 ","110,023 ","90,865 ","50,416 ","37,263 ",,,,,,,,,
17980,"Columbus, GA-AL",34.4,"74,864 ","32,927 ","41,762 ","36,930 ","40,772 ","32,935 ","19,028 ","15,647 ",,,,,,,,,
18020,"Columbus, IN",38.2,"19,360 ","6,063 ","9,780 ","10,464 ","11,001 ","9,395 ","5,986 ","4,745 ",,,,,,,,,
18140,"Columbus, OH",35.1,"454,787 ","190,604 ","269,563 ","259,434 ","265,484 ","202,111 ","108,487 ","86,066 ",,,,,,,,,
18580,"Corpus Christi, TX",36.0,"111,053 ","42,256 ","55,861 ","51,841 ","61,080 ","51,218 ","30,072 ","24,804 ",,,,,,,,,
18700,"Corvallis, OR",32.1,"15,249 ","19,656 ","10,414 ","8,595 ","10,738 ","10,647 ","5,384 ","4,896 ",,,,,,,,,
18880,"Crestview-Fort Walton Beach-Destin, FL",38.3,"40,388 ","18,395 ","24,995 ","21,675 ","28,748 ","21,403 ","14,094 ","11,124 ",,,,,,,,,
19060,"Cumberland, MD-WV",41.2,"19,390 ","12,303 ","11,984 ","12,965 ","14,778 ","13,584 ","9,707 ","8,588 ",,,,,,,,,
19100,"Dallas-Fort Worth-Arlington, TX",33.5,"1,773,862 ","598,622 ","951,931 ","954,965 ","905,275 ","626,632 ","327,504 ","232,982 ",,,,,,,,,
19140,"Dalton, GA",34.6,"39,931 ","13,373 ","18,446 ","20,372 ","19,455 ","14,919 ","9,434 ","6,297 ",,,,,,,,,
